(1, 1) = 13.333697741289571
(1, 2) = 13.328351100588117
(1, 3) = 13.33061892236844
(1, 4) = 13.329782208786483
(1, 5) = 13.31713885684475
(2, 1) = 13.33781331081277
(2, 2) = 13.332466670111312
(2, 3) = 13.33473449189164
(2, 4) = 13.33389777830968
(2, 5) = 13.321254426367952
(3, 1) = 13.334736726630796
(3, 2) = 13.329390085929342
(3, 3) = 13.331657907709669
(3, 4) = 13.330821194127708
(3, 5) = 13.318177842185978
(4, 1) = 13.335531000364298
(4, 2) = 13.33018435966284
(4, 3) = 13.332452181443168
(4, 4) = 13.33161546786121
(4, 5) = 13.318972115919477
(5, 1) = 13.340711412827977
(5, 2) = 13.335364772126523
(5, 3) = 13.33763259390685
(5, 4) = 13.336795880324892
(5, 5) = 13.324152528383157
(1, 1, 1) = 13.333697741289571
(1, 1, 2) = 13.329951082220864
(1, 1, 3) = 13.333527708287534
(1, 1, 4) = 13.332730234221215
(1, 1, 5) = 13.321851418957877
(1, 2, 1) = 13.331729025437518
(1, 2, 2) = 13.327982366368811
(1, 2, 3) = 13.33155899243548
(1, 2, 4) = 13.330761518369163
(1, 2, 5) = 13.319882703105826
(1, 3, 1) = 13.33313516889439
(1, 3, 2) = 13.329388509825684
(1, 3, 3) = 13.332965135892353
(1, 3, 4) = 13.332167661826038
(1, 3, 5) = 13.321288846562695
(1, 4, 1) = 13.333746026332895
(1, 4, 2) = 13.329999367264184
(1, 4, 3) = 13.333575993330854
(1, 4, 4) = 13.332778519264536
(1, 4, 5) = 13.321899704001195
(1, 5, 1) = 13.326207418889975
(1, 5, 2) = 13.322460759821269
(1, 5, 3) = 13.326037385887938
(1, 5, 4) = 13.32523991182162
(1, 5, 5) = 13.314361096558283
(2, 1, 1) = 13.338182045032074
(2, 1, 2) = 13.334435385963364
(2, 1, 3) = 13.338012012030033
(2, 1, 4) = 13.337214537963716
(2, 1, 5) = 13.326335722700374
(2, 2, 1) = 13.33621332918002
(2, 2, 2) = 13.332466670111312
(2, 2, 3) = 13.336043296177982
(2, 2, 4) = 13.335245822111666
(2, 2, 5) = 13.324367006848323
(2, 3, 1) = 13.33761947263689
(2, 3, 2) = 13.333872813568183
(2, 3, 3) = 13.33744943963485
(2, 3, 4) = 13.336651965568535
(2, 3, 5) = 13.325773150305194
(2, 4, 1) = 13.338230330075394
(2, 4, 2) = 13.334483671006687
(2, 4, 3) = 13.338060297073355
(2, 4, 4) = 13.337262823007036
(2, 4, 5) = 13.326384007743698
(2, 5, 1) = 13.330691722632475
(2, 5, 2) = 13.32694506356377
(2, 5, 3) = 13.330521689630439
(2, 5, 4) = 13.329724215564124
(2, 5, 5) = 13.318845400300782
(3, 1, 1) = 13.332390513106885
(3, 1, 2) = 13.328643854038178
(3, 1, 3) = 13.332220480104846
(3, 1, 4) = 13.331423006038527
(3, 1, 5) = 13.320544190775193
(3, 2, 1) = 13.330421797254834
(3, 2, 2) = 13.326675138186127
(3, 2, 3) = 13.330251764252797
(3, 2, 4) = 13.32945429018648
(3, 2, 5) = 13.318575474923138
(3, 3, 1) = 13.331827940711705
(3, 3, 2) = 13.328081281642996
(3, 3, 3) = 13.331657907709669
(3, 3, 4) = 13.33086043364335
(3, 3, 5) = 13.31998161838001
(3, 4, 1) = 13.332438798150209
(3, 4, 2) = 13.328692139081497
(3, 4, 3) = 13.33226876514817
(3, 4, 4) = 13.33147129108185
(3, 4, 5) = 13.320592475818513
(3, 5, 1) = 13.32490019070729
(3, 5, 2) = 13.321153531638581
(3, 5, 3) = 13.324730157705254
(3, 5, 4) = 13.323932683638935
(3, 5, 5) = 13.313053868375595
(4, 1, 1) = 13.332534689886247
(4, 1, 2) = 13.328788030817538
(4, 1, 3) = 13.332364656884208
(4, 1, 4) = 13.331567182817889
(4, 1, 5) = 13.32068836755455
(4, 2, 1) = 13.330565974034192
(4, 2, 2) = 13.326819314965483
(4, 2, 3) = 13.330395941032155
(4, 2, 4) = 13.329598466965837
(4, 2, 5) = 13.3187196517025
(4, 3, 1) = 13.331972117491064
(4, 3, 2) = 13.328225458422358
(4, 3, 3) = 13.331802084489027
(4, 3, 4) = 13.331004610422706
(4, 3, 5) = 13.320125795159369
(4, 4, 1) = 13.332582974929565
(4, 4, 2) = 13.328836315860858
(4, 4, 3) = 13.332412941927528
(4, 4, 4) = 13.33161546786121
(4, 4, 5) = 13.32073665259787
(4, 5, 1) = 13.32504436748665
(4, 5, 2) = 13.321297708417942
(4, 5, 3) = 13.324874334484608
(4, 5, 4) = 13.324076860418295
(4, 5, 5) = 13.313198045154953
(5, 1, 1) = 13.343489173114447
(5, 1, 2) = 13.339742514045739
(5, 1, 3) = 13.343319140112412
(5, 1, 4) = 13.342521666046093
(5, 1, 5) = 13.331642850782753
(5, 2, 1) = 13.341520457262396
(5, 2, 2) = 13.33777379819369
(5, 2, 3) = 13.341350424260359
(5, 2, 4) = 13.340552950194041
(5, 2, 5) = 13.3296741349307
(5, 3, 1) = 13.342926600719268
(5, 3, 2) = 13.339179941650558
(5, 3, 3) = 13.342756567717228
(5, 3, 4) = 13.341959093650912
(5, 3, 5) = 13.331080278387574
(5, 4, 1) = 13.34353745815777
(5, 4, 2) = 13.339790799089059
(5, 4, 3) = 13.343367425155728
(5, 4, 4) = 13.342569951089414
(5, 4, 5) = 13.331691135826077
(5, 5, 1) = 13.335998850714853
(5, 5, 2) = 13.332252191646146
(5, 5, 3) = 13.335828817712816
(5, 5, 4) = 13.335031343646497
(5, 5, 5) = 13.324152528383157
