(1, 1) = 13.587570004469818
(1, 2) = 13.309040836337305
(1, 3) = 13.30769510621881
(1, 4) = 13.306978927777733
(1, 5) = 13.306944112365072
(2, 1) = 13.587570004469818
(2, 2) = 13.309040836337305
(2, 3) = 13.30769510621881
(2, 4) = 13.306978927777733
(2, 5) = 13.306944112365072
(3, 1) = 13.587570004469818
(3, 2) = 13.309040836337305
(3, 3) = 13.30769510621881
(3, 4) = 13.306978927777733
(3, 5) = 13.306944112365072
(4, 1) = 13.587570004469818
(4, 2) = 13.309040836337305
(4, 3) = 13.30769510621881
(4, 4) = 13.306978927777733
(4, 5) = 13.306944112365072
(5, 1) = 13.587570004469818
(5, 2) = 13.309040836337305
(5, 3) = 13.30769510621881
(5, 4) = 13.306978927777733
(5, 5) = 13.306944112365072
(1, 1, 1) = 13.587570004469818
(1, 1, 2) = 13.309040836337305
(1, 1, 3) = 13.30769510621881
(1, 1, 4) = 13.306978927777733
(1, 1, 5) = 13.306944112365072
(1, 2, 1) = 13.587570004469818
(1, 2, 2) = 13.309040836337305
(1, 2, 3) = 13.30769510621881
(1, 2, 4) = 13.306978927777733
(1, 2, 5) = 13.306944112365072
(1, 3, 1) = 13.587570004469818
(1, 3, 2) = 13.309040836337305
(1, 3, 3) = 13.30769510621881
(1, 3, 4) = 13.306978927777733
(1, 3, 5) = 13.306944112365072
(1, 4, 1) = 13.587570004469818
(1, 4, 2) = 13.309040836337305
(1, 4, 3) = 13.30769510621881
(1, 4, 4) = 13.306978927777733
(1, 4, 5) = 13.306944112365072
(1, 5, 1) = 13.587570004469818
(1, 5, 2) = 13.309040836337305
(1, 5, 3) = 13.30769510621881
(1, 5, 4) = 13.306978927777733
(1, 5, 5) = 13.306944112365072
(2, 1, 1) = 13.587570004469818
(2, 1, 2) = 13.309040836337305
(2, 1, 3) = 13.30769510621881
(2, 1, 4) = 13.306978927777733
(2, 1, 5) = 13.306944112365072
(2, 2, 1) = 13.587570004469818
(2, 2, 2) = 13.309040836337305
(2, 2, 3) = 13.30769510621881
(2, 2, 4) = 13.306978927777733
(2, 2, 5) = 13.306944112365072
(2, 3, 1) = 13.587570004469818
(2, 3, 2) = 13.309040836337305
(2, 3, 3) = 13.30769510621881
(2, 3, 4) = 13.306978927777733
(2, 3, 5) = 13.306944112365072
(2, 4, 1) = 13.587570004469818
(2, 4, 2) = 13.309040836337305
(2, 4, 3) = 13.30769510621881
(2, 4, 4) = 13.306978927777733
(2, 4, 5) = 13.306944112365072
(2, 5, 1) = 13.587570004469818
(2, 5, 2) = 13.309040836337305
(2, 5, 3) = 13.30769510621881
(2, 5, 4) = 13.306978927777733
(2, 5, 5) = 13.306944112365072
(3, 1, 1) = 13.587570004469818
(3, 1, 2) = 13.309040836337305
(3, 1, 3) = 13.30769510621881
(3, 1, 4) = 13.306978927777733
(3, 1, 5) = 13.306944112365072
(3, 2, 1) = 13.587570004469818
(3, 2, 2) = 13.309040836337305
(3, 2, 3) = 13.30769510621881
(3, 2, 4) = 13.306978927777733
(3, 2, 5) = 13.306944112365072
(3, 3, 1) = 13.587570004469818
(3, 3, 2) = 13.309040836337305
(3, 3, 3) = 13.30769510621881
(3, 3, 4) = 13.306978927777733
(3, 3, 5) = 13.306944112365072
(3, 4, 1) = 13.587570004469818
(3, 4, 2) = 13.309040836337305
(3, 4, 3) = 13.30769510621881
(3, 4, 4) = 13.306978927777733
(3, 4, 5) = 13.306944112365072
(3, 5, 1) = 13.587570004469818
(3, 5, 2) = 13.309040836337305
(3, 5, 3) = 13.30769510621881
(3, 5, 4) = 13.306978927777733
(3, 5, 5) = 13.306944112365072
(4, 1, 1) = 13.587570004469818
(4, 1, 2) = 13.309040836337305
(4, 1, 3) = 13.30769510621881
(4, 1, 4) = 13.306978927777733
(4, 1, 5) = 13.306944112365072
(4, 2, 1) = 13.587570004469818
(4, 2, 2) = 13.309040836337305
(4, 2, 3) = 13.30769510621881
(4, 2, 4) = 13.306978927777733
(4, 2, 5) = 13.306944112365072
(4, 3, 1) = 13.587570004469818
(4, 3, 2) = 13.309040836337305
(4, 3, 3) = 13.30769510621881
(4, 3, 4) = 13.306978927777733
(4, 3, 5) = 13.306944112365072
(4, 4, 1) = 13.587570004469818
(4, 4, 2) = 13.309040836337305
(4, 4, 3) = 13.30769510621881
(4, 4, 4) = 13.306978927777733
(4, 4, 5) = 13.306944112365072
(4, 5, 1) = 13.587570004469818
(4, 5, 2) = 13.309040836337305
(4, 5, 3) = 13.30769510621881
(4, 5, 4) = 13.306978927777733
(4, 5, 5) = 13.306944112365072
(5, 1, 1) = 13.587570004469818
(5, 1, 2) = 13.309040836337305
(5, 1, 3) = 13.30769510621881
(5, 1, 4) = 13.306978927777733
(5, 1, 5) = 13.306944112365072
(5, 2, 1) = 13.587570004469818
(5, 2, 2) = 13.309040836337305
(5, 2, 3) = 13.30769510621881
(5, 2, 4) = 13.306978927777733
(5, 2, 5) = 13.306944112365072
(5, 3, 1) = 13.587570004469818
(5, 3, 2) = 13.309040836337305
(5, 3, 3) = 13.30769510621881
(5, 3, 4) = 13.306978927777733
(5, 3, 5) = 13.306944112365072
(5, 4, 1) = 13.587570004469818
(5, 4, 2) = 13.309040836337305
(5, 4, 3) = 13.30769510621881
(5, 4, 4) = 13.306978927777733
(5, 4, 5) = 13.306944112365072
(5, 5, 1) = 13.587570004469818
(5, 5, 2) = 13.309040836337305
(5, 5, 3) = 13.30769510621881
(5, 5, 4) = 13.306978927777733
(5, 5, 5) = 13.306944112365072
